Date,Open,High,Low,Close,Adj Close,Volume
29-03-22,1441,1460.25,1430,1451.800049,1435.113892,6188724
30-03-22,1472,1482.75,1454.050049,1476.949951,1459.974854,10054871
31-03-22,1471,1484.699951,1465.900024,1470.349976,1453.450684,7147857
01-04-22,1476.400024,1510,1470.300049,1506,1488.690918,7284278
04-04-22,1580,1722.099976,1562.550049,1656.800049,1637.757813,48725485
05-04-22,1666.699951,1666.699951,1602,1608.25,1589.765747,15461291
06-04-22,1587.699951,1589.800049,1547.349976,1550.849976,1533.025513,13513930
07-04-22,1541.300049,1541.349976,1513.699951,1516.75,1499.317383,20390866
08-04-22,1512.099976,1525.75,1497.300049,1514.650024,1497.241577,20628161
11-04-22,1506,1510,1493.25,1496.150024,1478.954224,10399533
12-04-22,1484,1506.849976,1480.150024,1493.5,1476.334595,13717701
13-04-22,1490,1502.300049,1462.650024,1464.949951,1448.112671,14446260
18-04-22,1418.849976,1431.650024,1390.050049,1395.449951,1379.411499,22810188
19-04-22,1380.900024,1389.550049,1327,1342.199951,1326.77356,37048011
20-04-22,1354.449951,1359.900024,1335.349976,1354.300049,1338.734497,24662868
21-04-22,1365,1379.800049,1353.300049,1374.349976,1358.554077,26223135
22-04-22,1360,1375.349976,1349.150024,1355.599976,1340.019531,10329574
25-04-22,1350,1370.650024,1322.25,1365.75,1350.052856,10467744
26-04-22,1372,1381.949951,1357.150024,1372.050049,1356.280518,8508421
27-04-22,1360,1379,1356.099976,1372.550049,1356.77478,9027167
28-04-22,1372,1379,1362.099976,1371.349976,1355.588501,10386861
29-04-22,1380.349976,1404.75,1371.550049,1384.599976,1368.686279,14200738
02-05-22,1362.050049,1406.449951,1362.050049,1403.699951,1387.56665,9747158
04-05-22,1400,1403.599976,1350,1356,1340.414917,14527958
05-05-22,1375,1375,1346.5,1352.949951,1337.400024,8931456
06-05-22,1330,1335,1313,1317.599976,1302.456299,13365634
09-05-22,1300,1326.5,1295.5,1319.849976,1304.68042,16381217
10-05-22,1315.050049,1353,1315.050049,1341.050049,1325.636841,10056906
11-05-22,1353,1355,1328.650024,1348.599976,1333.099976,8551462
12-05-22,1321.099976,1326.800049,1293,1303.050049,1303.050049,11191145
13-05-22,1310.050049,1318,1287,1291.349976,1291.349976,8384119
16-05-22,1299,1312,1285.300049,1305.099976,1305.099976,4902178
17-05-22,1312.599976,1317,1298.199951,1314,1314,8320722
18-05-22,1324.050049,1333.300049,1310,1313.900024,1313.900024,7866192
19-05-22,1286.199951,1296.400024,1278.300049,1287.050049,1287.050049,10268753
20-05-22,1303,1324.199951,1292.349976,1320.949951,1320.949951,6959675
23-05-22,1314,1329.949951,1299.099976,1304,1304,9743160
24-05-22,1300,1325,1296.900024,1318.949951,1318.949951,6435398
25-05-22,1330,1335.949951,1323.199951,1328.800049,1328.800049,6443556
26-05-22,1342.150024,1371,1340,1366.699951,1366.699951,13496214
27-05-22,1371.800049,1394.699951,1370.75,1392.050049,1392.050049,12015859
30-05-22,1410.25,1420.5,1398.449951,1401.550049,1401.550049,6312337
31-05-22,1395.900024,1404.800049,1380,1388.949951,1388.949951,6742694
01-06-22,1380,1400.449951,1379.150024,1394.849976,1394.849976,6045948
02-06-22,1387.25,1388,1378.599976,1385.099976,1385.099976,5737510
03-06-22,1398.300049,1400.75,1376.300049,1380.300049,1380.300049,3478622
06-06-22,1376.300049,1387,1360.650024,1378.449951,1378.449951,3086633
07-06-22,1362,1374.300049,1354.099976,1362.599976,1362.599976,5126983
08-06-22,1373.300049,1381,1357,1367.400024,1367.400024,2993294
09-06-22,1362.25,1382.050049,1357.150024,1377.699951,1377.699951,3655908
10-06-22,1360.099976,1367.949951,1343.599976,1351.099976,1351.099976,4577715
13-06-22,1323.599976,1330,1308.300049,1326.599976,1326.599976,5446286
14-06-22,1311.25,1326,1305,1312,1312,5935178
15-06-22,1301.650024,1315.800049,1298.400024,1307.449951,1307.449951,5905235
16-06-22,1310,1320.550049,1278,1281.300049,1281.300049,6084596
17-06-22,1275,1299,1271.599976,1289.75,1289.75,7361961
20-06-22,1304.699951,1325,1294.150024,1322.150024,1322.150024,7968420
21-06-22,1336.900024,1354,1324.050049,1336.550049,1336.550049,6610342
22-06-22,1332.25,1336.949951,1323.199951,1330.25,1330.25,4079849
23-06-22,1330.5,1348,1318.5,1335.150024,1335.150024,7686122
24-06-22,1338.550049,1361.650024,1338.550049,1353.800049,1353.800049,4006716
27-06-22,1370,1376,1352,1356.25,1356.25,4902082
28-06-22,1344,1351,1338.400024,1345.900024,1345.900024,4885287
29-06-22,1331.25,1350.75,1331.25,1343.949951,1343.949951,4997023
30-06-22,1336,1354,1336,1348,1348,6237911
01-07-22,1343.949951,1360,1330.050049,1353.75,1353.75,5736226
04-07-22,1353.699951,1360.199951,1342.25,1355.650024,1355.650024,4243740
05-07-22,1364,1379.349976,1348.300049,1352.599976,1352.599976,7162859
06-07-22,1348,1373.400024,1347.099976,1371.25,1371.25,7524539
07-07-22,1380,1398,1374.449951,1395.800049,1395.800049,8871571
08-07-22,1410,1410,1394.75,1397.099976,1397.099976,6237015
11-07-22,1394,1409.900024,1393.25,1406.150024,1406.150024,3731416
12-07-22,1405.25,1405.25,1389.400024,1391.800049,1391.800049,4938487
13-07-22,1390,1394.199951,1354.25,1357.849976,1357.849976,7972805
14-07-22,1362,1372.650024,1349.25,1351.050049,1351.050049,5186205
15-07-22,1353,1364.900024,1346.800049,1362.050049,1362.050049,6797823
18-07-22,1348,1366.099976,1342.050049,1347.550049,1347.550049,10166110
19-07-22,1337,1358.550049,1337,1348.050049,1348.050049,7896269
20-07-22,1359.900024,1371.099976,1355.25,1365.050049,1365.050049,10173931
21-07-22,1360.550049,1369.5,1358.099976,1360.75,1360.75,6320139
22-07-22,1366,1397,1362.400024,1392.5,1392.5,6364796
25-07-22,1395,1404.599976,1383.300049,1396.599976,1396.599976,5071563
26-07-22,1396,1402,1386.300049,1393.75,1393.75,4263982
27-07-22,1388.900024,1406,1384.25,1404.400024,1404.400024,4606389
28-07-22,1415.050049,1424,1411,1416.849976,1416.849976,8710203
29-07-22,1438,1438.599976,1415.300049,1434.199951,1434.199951,10009868
01-08-22,1439,1448.449951,1430.050049,1446.150024,1446.150024,6596518
02-08-22,1442,1444.599976,1423.050049,1430.25,1430.25,7518255
03-08-22,1424.949951,1435.75,1417,1433.599976,1433.599976,5487749
04-08-22,1440,1446.699951,1412.949951,1431.900024,1431.900024,6006103
05-08-22,1433,1436.949951,1421.150024,1427.050049,1427.050049,4634491
08-08-22,1428,1464.5,1427.099976,1462.050049,1462.050049,7678868
10-08-22,1461.349976,1471.5,1449.050049,1466.300049,1466.300049,8676551
11-08-22,1486.5,1491,1474.550049,1485.699951,1485.699951,9150883
12-08-22,1485,1489.300049,1475.949951,1485.150024,1485.150024,4425185
16-08-22,1494.800049,1508.5,1488.050049,1502.150024,1502.150024,6281878
17-08-22,1500,1512.75,1485.75,1509.900024,1509.900024,6192175
18-08-22,1500,1513.900024,1499.650024,1511.699951,1511.699951,4171069
19-08-22,1510,1512,1490,1493.050049,1493.050049,4031851
22-08-22,1484.800049,1488.349976,1467.699951,1470.349976,1470.349976,4117033
23-08-22,1453.300049,1475.949951,1450.400024,1465.800049,1465.800049,7483442
24-08-22,1461.900024,1475.5,1459.199951,1472.849976,1472.849976,6727760
25-08-22,1479.900024,1486.800049,1457,1464.849976,1464.849976,5911520
26-08-22,1472.050049,1481.800049,1461.199951,1465.099976,1465.099976,3853088
29-08-22,1437,1446,1428.599976,1439.400024,1439.400024,4326589
30-08-22,1446.449951,1489.949951,1443.099976,1486.099976,1486.099976,5067700
01-09-22,1464.75,1489.449951,1459,1472.150024,1472.150024,11201568
02-09-22,1472.150024,1490.5,1465.199951,1485.5,1485.5,6019043
05-09-22,1486.099976,1499,1484.099976,1495.050049,1495.050049,6065966
06-09-22,1498.900024,1506.650024,1487.099976,1502,1502,4066957
